YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,4,11,6,WN,3777,N378SW,HOU,GSP,805,805,0,10,815,125,122,108,845,1103,4,1110,1107,-3,0,0,,,,,,
2015,8,24,1,DL,1427,N951AT,ATL,SAV,2205,2207,2,13,2220,64,56,38,214,2258,5,2309,2303,-6,0,0,,,,,,
2015,4,22,3,AS,2,N586AS,SEA,DCA,1355,1348,-7,14,1402,302,276,259,2329,2121,3,2157,2124,-33,0,0,,,,,,
2015,3,28,6,VX,905,N528VA,LAS,SFO,1115,1110,-5,14,1124,95,83,63,414,1227,6,1250,1233,-17,0,0,,,,,,
2015,6,13,6,US,622,N586UW,PHX,JFK,1530,1529,-1,15,1544,296,278,256,2153,2300,7,2326,2307,-19,0,0,,,,,,
2015,12,1,2,EV,4571,N13566,EWR,BWI,1140,1139,-1,30,1209,70,81,40,169,1249,11,1250,1300,10,0,0,,,,,,
2015,8,23,7,AS,592,N514AS,PDX,SNA,1535,1546,11,10,1556,140,139,125,859,1801,4,1755,1805,10,0,0,,,,,,
2015,10,1,4,EV,5281,N730EV,10721,14524,840,837,-3,18,855,107,105,83,474,1018,4,1027,1022,-5,0,0,,,,,,
2015,4,6,1,WN,3745,N637SW,MCO,DEN,850,848,-2,7,855,255,228,215,1546,1030,6,1105,1036,-29,0,0,,,,,,
2015,12,28,1,WN,314,N7723E,ATL,MDW,645,,,,,115,,,591,,,740,,,0,1,B,,,,,
2015,12,4,5,F9,1232,N910FR,LAS,MIA,2315,2307,-8,18,2325,270,261,236,2174,621,7,645,628,-17,0,0,,,,,,
2015,3,25,3,EV,4714,N12563,BDL,EWR,530,522,-8,18,540,54,59,33,116,613,8,624,621,-3,0,0,,,,,,
2015,11,25,3,AA,456,N662AW,IAH,PHX,1500,1455,-5,15,1510,172,164,144,1009,1634,5,1652,1639,-13,0,0,,,,,,
2015,9,4,5,WN,2839,N207WN,PVD,MCO,610,608,-2,9,617,175,153,138,1072,835,6,905,841,-24,0,0,,,,,,
2015,6,30,2,MQ,3441,N650MQ,ABI,DFW,1827,1819,-8,4,1823,58,58,49,158,1912,5,1925,1917,-8,0,0,,,,,,
2015,8,19,3,WN,746,N7825A,LAX,TUS,1005,1002,-3,17,1019,80,82,61,451,1120,4,1125,1124,-1,0,0,,,,,,
2015,6,14,7,OO,5357,N495CA,DEN,MAF,2215,2218,3,15,2233,100,95,76,563,49,4,55,53,-2,0,0,,,,,,
2015,7,7,2,WN,1544,N8616C,MCO,SAN,1040,1040,0,9,1049,295,275,262,2149,1211,4,1235,1215,-20,0,0,,,,,,
2015,2,13,5,WN,4453,N270WN,HOU,STL,915,910,-5,11,921,115,115,101,687,1102,3,1110,1105,-5,0,0,,,,,,
2015,5,11,1,EV,4592,N16541,BHM,IAH,926,1206,160,20,1226,117,,,562,1703,8,1123,1711,,1,0,,,,,,
2015,5,5,2,DL,1626,N971DL,BHM,ATL,1606,1602,-4,11,1613,69,48,29,134,1742,8,1815,1750,-25,0,0,,,,,,
2015,6,4,4,WN,3482,N604SW,RDU,HOU,955,1009,14,7,1016,175,145,134,1050,1130,4,1150,1134,-16,0,0,,,,,,
2015,1,14,3,EV,4334,N13968,EWR,CMH,607,600,-7,14,614,116,100,74,463,728,12,803,740,-23,0,0,,,,,,
2015,3,13,5,WN,2616,N7736A,OAK,SEA,900,901,1,12,913,125,121,100,671,1053,9,1105,1102,-3,0,0,,,,,,
2015,11,22,7,AA,1729,N537UW,CLT,MCO,1120,1117,-3,21,1138,99,110,77,468,1255,12,1259,1307,8,0,0,,,,,,
2015,5,4,1,WN,529,N759GS,SJC,AUS,935,936,1,8,944,200,186,171,1476,1435,7,1455,1442,-13,0,0,,,,,,
2015,10,28,3,AA,1577,N3CFAA,11057,11298,1305,1322,17,24,1346,175,187,150,936,1516,13,1500,1529,29,0,0,,12,0,17,0,0
2015,6,14,7,AA,1358,N3JGAA,ORD,LAX,1510,1509,-1,10,1519,274,244,226,1744,1705,8,1744,1713,-31,0,0,,,,,,
2015,11,1,7,OO,2869,N868CA,ABQ,LAX,1526,1518,-8,13,1531,131,124,102,677,1613,9,1637,1622,-15,0,0,,,,,,
2015,5,11,1,US,1936,N539UW,CLT,EWR,1210,1205,-5,17,1222,112,107,85,529,1347,5,1402,1352,-10,0,0,,,,,,
2015,5,11,1,WN,1898,N7751A,SJU,FLL,645,641,-4,14,655,175,156,139,1046,914,3,940,917,-23,0,0,,,,,,
2015,2,26,4,DL,2206,N966DL,ATL,ORF,1400,1428,28,19,1447,96,84,61,516,1548,4,1536,1552,16,0,0,,0,0,4,12,0
2015,7,3,5,AA,1995,N103US,PHL,ORD,1410,1406,-4,14,1420,142,119,98,678,1458,7,1532,1505,-27,0,0,,,,,,
2015,3,24,2,AS,696,N531AS,SEA,GEG,1605,1629,24,9,1638,55,51,39,224,1717,3,1700,1720,20,0,0,,0,0,20,0,0
2015,2,10,2,WN,437,N904WN,SNA,LAS,1610,1733,83,3,1736,65,51,43,226,1819,5,1715,1824,69,0,0,,0,0,66,3,0
2015,12,14,1,AA,1270,N3FVAA,RSW,DFW,1839,1824,-15,17,1841,181,170,142,1017,2003,11,2040,2014,-26,0,0,,,,,,
2015,6,26,5,B6,624,N946JB,LAX,JFK,2110,2109,-1,10,2119,317,314,300,2475,519,4,527,523,-4,0,0,,,,,,
2015,8,13,4,OO,5465,N934SW,DEN,JMS,2026,2055,29,17,2112,110,104,82,573,2334,5,2316,2339,23,0,0,,0,0,0,23,0
2015,11,8,7,EV,5130,N855AS,DSM,DTW,1730,1950,140,12,2002,105,97,83,534,2225,2,2015,2227,132,0,0,,0,0,120,12,0
2015,11,18,3,WN,2775,N215WN,LAS,RNO,600,636,36,9,645,80,73,60,345,745,4,720,749,29,0,0,,0,0,29,0,0
2015,2,21,6,DL,2287,N952DN,DTW,ATL,1730,1753,23,12,1805,129,111,87,594,1932,12,1939,1944,5,0,0,,,,,,
2015,4,29,3,MQ,3031,N683MQ,ORD,BMI,1520,1517,-3,9,1526,59,36,25,116,1551,2,1619,1553,-26,0,0,,,,,,
2015,10,30,5,F9,242,N218FR,11292,12266,1505,1553,48,13,1606,139,181,141,862,1927,27,1824,1954,90,0,0,,54,0,25,11,0
2015,7,19,7,AA,1605,N850AA,MIA,DFW,1525,1529,4,14,1543,186,171,145,1121,1708,12,1731,1720,-11,0,0,,,,,,
2015,12,2,3,NK,431,N526NK,RSW,DFW,1958,2003,5,9,2012,169,163,147,1017,2139,7,2147,2146,-1,0,0,,,,,,
2015,12,23,3,WN,1843,N7701B,MDW,OAK,1150,1211,21,10,1221,280,285,269,1844,1450,6,1430,1456,26,0,0,,5,0,0,0,21
2015,4,9,4,EV,3269,N14204,LFT,IAH,1451,1442,-9,7,1449,63,50,38,201,1527,5,1554,1532,-22,0,0,,,,,,
2015,7,16,4,AA,1423,N3BKAA,PBI,DFW,600,553,-7,14,607,178,,,1102,955,6,758,1001,,1,0,,,,,,
2015,4,19,7,DL,2164,N924DN,LGA,ATL,900,857,-3,24,921,160,150,115,762,1116,11,1140,1127,-13,0,0,,,,,,
2015,1,13,2,US,1917,N171US,BOS,PHL,700,658,-2,31,729,105,106,71,280,840,4,845,844,-1,0,0,,,,,,
2015,11,29,7,WN,2518,N209WN,BNA,HOU,2005,2012,7,7,2019,130,114,99,670,2158,8,2215,2206,-9,0,0,,,,,,
2015,11,3,2,WN,2603,N554WN,RSW,BWI,1400,1401,1,14,1415,140,142,122,919,1617,6,1620,1623,3,0,0,,,,,,
